192.168.50.114:0	103.127.18.114-103.127.18.114(0:0)
192.168.50.115:0	103.127.18.115-103.127.18.115(0:0)
192.168.50.116:0	103.127.18.116-103.127.18.116(0:0)
192.168.50.117:0	103.127.18.117-103.127.18.117(0:0)
192.168.50.118:0	103.127.18.118-103.127.18.118(0:0)
192.168.50.119:0	103.127.18.119-103.127.18.119(0:0)
192.168.50.120:0	103.127.18.120-103.127.18.120(0:0)
192.168.50.121:0	103.127.18.121-103.127.18.121(0:0)
192.168.50.122:0	103.127.18.122-103.127.18.122(0:0)
192.168.50.123:0	103.127.18.123-103.127.18.123(0:0)
192.168.50.124:0	103.127.18.124-103.127.18.124(0:0)
192.168.50.125:0	103.127.18.125-103.127.18.125(0:0)
192.168.50.126:0	103.127.18.126-103.127.18.126(0:0)
192.168.50.127:0	103.127.18.127-103.127.18.127(0:0)
192.168.50.128:0	103.127.18.128-103.127.18.128(0:0)
192.168.50.129:0	103.127.18.129-103.127.18.129(0:0)
192.168.50.130:0	103.127.18.130-103.127.18.130(0:0)
192.168.50.131:0	103.127.18.131-103.127.18.131(0:0)
192.168.50.132:0	103.127.18.132-103.127.18.132(0:0)
192.168.50.133:0	103.127.18.133-103.127.18.133(0:0)
192.168.50.134:0	103.127.18.134-103.127.18.134(0:0)
192.168.50.135:0	103.127.18.135-103.127.18.135(0:0)
192.168.50.136:0	103.127.18.136-103.127.18.136(0:0)
192.168.50.137:0	103.127.18.137-103.127.18.137(0:0)
192.168.50.138:0	103.127.18.138-103.127.18.138(0:0)
192.168.50.139:0	103.127.18.139-103.127.18.139(0:0)
192.168.50.140:0	103.127.18.140-103.127.18.140(0:0)
192.168.50.142:0	103.127.18.142-103.127.18.142(0:0)
192.168.50.143:0	103.127.18.143-103.127.18.143(0:0)
192.168.50.144:0	103.127.18.144-103.127.18.144(0:0)
192.168.50.145:0	103.127.18.145-103.127.18.145(0:0)
192.168.50.146:0	103.127.18.146-103.127.18.146(0:0)
192.168.50.147:0	103.127.18.147-103.127.18.147(0:0)
192.168.50.148:0	103.127.18.148-103.127.18.148(0:0)
192.168.50.149:0	103.127.18.149-103.127.18.149(0:0)
192.168.50.150:0	103.127.18.150-103.127.18.150(0:0)
192.168.50.151:0	103.127.18.151-103.127.18.151(0:0)
192.168.50.152:0	103.127.18.152-103.127.18.152(0:0)
192.168.50.153:0	103.127.18.153-103.127.18.153(0:0)
192.168.50.154:0	103.127.18.154-103.127.18.154(0:0)
192.168.50.155:0	103.127.18.155-103.127.18.155(0:0)
192.168.50.156:0	103.127.18.156-103.127.18.156(0:0)
192.168.50.157:0	103.127.18.157-103.127.18.157(0:0)
192.168.50.158:0	103.127.18.158-103.127.18.158(0:0)
192.168.50.159:0	103.127.18.159-103.127.18.159(0:0)
192.168.50.160:0	103.127.18.160-103.127.18.160(0:0)
192.168.50.161:0	103.127.18.161-103.127.18.161(0:0)
192.168.50.162:0	103.127.18.162-103.127.18.162(0:0)
192.168.50.163:0	103.127.18.163-103.127.18.163(0:0)
192.168.50.164:0	103.127.18.164-103.127.18.164(0:0)
192.168.50.165:0	103.127.18.165-103.127.18.165(0:0)
192.168.50.166:0	103.127.18.166-103.127.18.166(0:0)
192.168.50.167:0	103.127.18.167-103.127.18.167(0:0)
192.168.50.168:0	103.127.18.168-103.127.18.168(0:0)
192.168.50.169:0	103.127.18.169-103.127.18.169(0:0)
192.168.50.170:0	103.127.18.170-103.127.18.170(0:0)
192.168.50.171:0	103.127.18.171-103.127.18.171(0:0)
192.168.50.172:0	103.127.18.172-103.127.18.172(0:0)
192.168.50.173:0	103.127.18.173-103.127.18.173(0:0)
192.168.50.174:0	103.127.18.174-103.127.18.174(0:0)
192.168.50.175:0	103.127.18.175-103.127.18.175(0:0)
192.168.50.176:0	103.127.18.176-103.127.18.176(0:0)
192.168.50.177:0	103.127.18.177-103.127.18.177(0:0)
192.168.50.178:0	103.127.18.178-103.127.18.178(0:0)
192.168.50.179:0	103.127.18.179-103.127.18.179(0:0)
192.168.50.180:0	103.127.18.180-103.127.18.180(0:0)
192.168.50.181:0	103.127.18.181-103.127.18.181(0:0)
192.168.50.182:0	103.127.18.182-103.127.18.182(0:0)
192.168.50.183:0	103.127.18.183-103.127.18.183(0:0)
192.168.50.184:0	103.127.18.184-103.127.18.184(0:0)
192.168.50.185:0	103.127.18.185-103.127.18.185(0:0)
192.168.50.186:0	103.127.18.186-103.127.18.186(0:0)
192.168.50.187:0	103.127.18.187-103.127.18.187(0:0)
192.168.50.188:0	103.127.18.188-103.127.18.188(0:0)
192.168.50.189:0	103.127.18.189-103.127.18.189(0:0)
192.168.50.190:0	103.127.18.190-103.127.18.190(0:0)
192.168.50.191:0	103.127.18.191-103.127.18.191(0:0)
192.168.50.192:0	103.127.18.192-103.127.18.192(0:0)
192.168.50.193:0	103.127.18.193-103.127.18.193(0:0)
192.168.50.194:0	103.127.18.194-103.127.18.194(0:0)
192.168.50.195:0	103.127.18.195-103.127.18.195(0:0)
192.168.50.196:0	103.127.18.196-103.127.18.196(0:0)
192.168.50.197:0	103.127.18.197-103.127.18.197(0:0)
192.168.50.198:0	103.127.18.198-103.127.18.198(0:0)
192.168.50.199:0	103.127.18.199-103.127.18.199(0:0)
192.168.50.200:0	103.127.18.200-103.127.18.200(0:0)
192.168.50.201:0	103.127.18.201-103.127.18.201(0:0)
192.168.50.202:0	103.127.18.202-103.127.18.202(0:0)
192.168.50.203:0	103.127.18.203-103.127.18.203(0:0)
192.168.50.204:0	103.127.18.204-103.127.18.204(0:0)
192.168.50.205:0	103.127.18.205-103.127.18.205(0:0)
192.168.50.206:0	103.127.18.206-103.127.18.206(0:0)
192.168.50.207:0	103.127.18.207-103.127.18.207(0:0)
192.168.50.208:0	103.127.18.208-103.127.18.208(0:0)
192.168.50.209:0	103.127.18.209-103.127.18.209(0:0)
192.168.50.210:0	103.127.18.210-103.127.18.210(0:0)
192.168.50.211:0	103.127.18.211-103.127.18.211(0:0)
192.168.50.212:0	103.127.18.212-103.127.18.212(0:0)
192.168.50.213:0	103.127.18.213-103.127.18.213(0:0)
192.168.50.214:0	103.127.18.214-103.127.18.214(0:0)
192.168.50.215:0	103.127.18.215-103.127.18.215(0:0)
192.168.50.216:0	103.127.18.216-103.127.18.216(0:0)
192.168.50.217:0	103.127.18.217-103.127.18.217(0:0)
192.168.50.218:0	103.127.18.218-103.127.18.218(0:0)
192.168.50.219:0	103.127.18.219-103.127.18.219(0:0)
192.168.50.220:0	103.127.18.220-103.127.18.220(0:0)
192.168.50.221:0	103.127.18.221-103.127.18.221(0:0)
192.168.50.222:0	103.127.18.222-103.127.18.222(0:0)
192.168.50.223:0	103.127.18.223-103.127.18.223(0:0)
192.168.50.224:0	103.127.18.224-103.127.18.224(0:0)
192.168.50.225:0	103.127.18.225-103.127.18.225(0:0)
192.168.50.226:0	103.127.18.226-103.127.18.226(0:0)
192.168.50.227:0	103.127.18.227-103.127.18.227(0:0)
192.168.50.228:0	103.127.18.228-103.127.18.228(0:0)
192.168.50.229:0	103.127.18.229-103.127.18.229(0:0)
192.168.50.230:0	103.127.18.230-103.127.18.230(0:0)
192.168.50.231:0	103.127.18.231-103.127.18.231(0:0)
192.168.50.232:0	103.127.18.232-103.127.18.232(0:0)
192.168.50.233:0	103.127.18.233-103.127.18.233(0:0)
192.168.50.234:0	103.127.18.234-103.127.18.234(0:0)
192.168.50.235:0	103.127.18.235-103.127.18.235(0:0)
192.168.50.236:0	103.127.18.236-103.127.18.236(0:0)
192.168.50.237:0	103.127.18.237-103.127.18.237(0:0)
192.168.50.238:0	103.127.18.238-103.127.18.238(0:0)
192.168.50.239:0	103.127.18.239-103.127.18.239(0:0)
192.168.50.240:0	103.127.18.240-103.127.18.240(0:0)
192.168.50.241:0	103.127.18.241-103.127.18.241(0:0)
192.168.50.242:0	103.127.18.242-103.127.18.242(0:0)
192.168.50.247:0	103.127.18.247-103.127.18.247(0:0)
192.168.50.248:0	103.127.18.248-103.127.18.248(0:0)
192.168.50.249:0	103.127.18.249-103.127.18.249(0:0)
192.168.50.250:0	103.127.18.250-103.127.18.250(0:0)
192.168.50.251:0	103.127.18.251-103.127.18.251(0:0)
192.168.50.252:0	103.127.18.252-103.127.18.252(0:0)
192.168.50.253:0	103.127.18.253-103.127.18.253(0:0)
192.168.50.254:0	103.127.18.254-103.127.18.254(0:0)
192.168.50.255:0	103.127.18.255-103.127.18.255(0:0)
192.168.50.90:0	103.127.18.90-103.127.18.90(0:0)
192.168.50.89:0	103.127.18.89-103.127.18.89(0:0)
192.168.50.88:0	103.127.18.88-103.127.18.88(0:0)
192.168.50.87:0	103.127.18.87-103.127.18.87(0:0)
